index,acc,precision,sensitivity,specificity,mcc,ppv,npv,auc,pr,smoker
1,0.941071429,0.90491803,0.984313722,0.985714282,0.896428568,0.885680215,0.943589742,0.989081633,0.988186655,1
2,0.951785714,0.920265778,0.988416985,0.989285711,0.914285711,0.906123495,0.953528398,0.989719388,0.990257088,1
3,0.941071429,0.897106106,0.995983932,0.996428568,0.885714283,0.887599574,0.944162435,0.992028061,0.991049858,1
4,0.880357143,0.816023736,0.977578471,0.982142854,0.778571426,0.776984261,0.891410047,0.975522959,0.974700112,1
5,0.932142857,0.890322578,0.983999996,0.985714282,0.878571425,0.869289662,0.935593219,0.984961735,0.980877722,1
6,0.942857143,0.899999997,0.995999996,0.996428568,0.889285711,0.890842298,0.94576271,0.993494898,0.993038914,1
7,0.933691756,0.89285714,0.983999996,0.985663079,0.881720427,0.872107464,0.93696763,0.975719736,0.974166933,1
8,0.890681004,0.830303028,0.978070171,0.98207885,0.799283151,0.794752861,0.899835795,0.972071273,0.959806339,1
9,0.964157706,0.941979519,0.988679242,0.989247308,0.939068097,0.929486351,0.965034963,0.997212266,0.997290808,1
10,0.922939068,0.87106918,0.991666663,0.992831538,0.853046592,0.854265411,0.927973198,0.987718554,0.984307966,1
11,0.948214286,0.916943519,0.984555981,0.985714282,0.910714282,0.898960463,0.950086057,0.992793367,0.992945217,1
12,0.917857143,0.865624997,0.987499996,0.989285711,0.846428568,0.844374769,0.923333332,0.984642857,0.981622347,1
13,0.935714286,0.893548384,0.987999996,0.989285711,0.882142854,0.876473874,0.938983049,0.984528061,0.981407022,1
14,0.944642857,0.913621259,0.980694977,0.982142854,0.907142854,0.891797432,0.946643716,0.979311224,0.967615252,1
15,0.948214286,0.911475407,0.992156859,0.992857139,0.903571425,0.900023215,0.950427349,0.983303571,0.981144712,1
16,0.953571429,0.92333333,0.988461535,0.989285711,0.91785714,0.90946589,0.955172412,0.991364796,0.992858069,1
17,0.935483871,0.895765469,0.984063741,0.985663079,0.885304656,0.875387267,0.938566551,0.985020747,0.981234445,1
18,0.913978495,0.855384613,0.99570815,0.996415767,0.831541216,0.839445178,0.9205298,0.990210814,0.989592091,1
19,0.955197133,0.926174494,0.988461535,0.989247308,0.92114695,0.912512685,0.956672442,0.990223661,0.988767362,1
20,0.917562724,0.869841267,0.979423864,0.98207885,0.853046592,0.842165618,0.922558921,0.977556815,0.972598151,1
21,0.946428571,0.925170065,0.969924808,0.971428568,0.921428568,0.893975311,0.94773519,0.98,0.979114173,1
22,0.935714286,0.891025638,0.99193548,0.992857139,0.878571425,0.877175896,0.939189188,0.983571429,0.979811281,1
23,0.917857143,0.858895703,0.999999996,0.999999996,0.835714283,0.847225714,0.924092408,0.98747449,0.98536001,1
24,0.926785714,0.881789135,0.983805664,0.985714282,0.86785714,0.859562095,0.930860032,0.983647959,0.977963563,1
25,0.919642857,0.863777087,0.995780587,0.996428568,0.84285714,0.84936122,0.925373133,0.991683673,0.992598568,1
26,0.925,0.876582276,0.987704914,0.989285711,0.860714283,0.85711383,0.9295302,0.986377551,0.984604949,1
27,0.94265233,0.90491803,0.988142289,0.989247308,0.896057344,0.889174036,0.945205478,0.986588045,0.98653272,1
28,0.953405018,0.928813556,0.980988589,0.98207885,0.924731179,0.908304862,0.954703831,0.992651687,0.993179123,1
29,0.9390681,0.899022798,0.988047805,0.989247308,0.888888886,0.8825921,0.941979521,0.987924102,0.988913179,1
30,0.940860215,0.899350646,0.991999996,0.992831538,0.888888886,0.886522463,0.94378194,0.983787464,0.980475816,1
31,0.919642857,0.870662458,0.983539091,0.985714282,0.853571426,0.84671079,0.924623114,0.987206633,0.988329629,1
32,0.942857143,0.91333333,0.976923073,0.978571425,0.907142854,0.887982444,0.944827585,0.981951531,0.980764334,1
33,0.921428571,0.873417719,0.983606553,0.985714282,0.857142854,0.849911192,0.926174495,0.987704082,0.98925328,1
34,0.942857143,0.905228755,0.988188972,0.989285711,0.896428568,0.889557671,0.94539249,0.986441327,0.983898867,1
35,0.935714286,0.898692808,0.980314957,0.982142854,0.889285711,0.875209967,0.938566551,0.98682398,0.98640684,1
36,0.932142857,0.890322578,0.983999996,0.985714282,0.878571425,0.869289662,0.935593219,0.989145408,0.98879538,1
37,0.924731183,0.881028936,0.979757081,0.98207885,0.867383509,0.855105451,0.928813558,0.985920016,0.985327075,1
38,0.965949821,0.936241608,0.999999996,0.999999996,0.931899638,0.934068103,0.967071056,0.993743657,0.990501205,1
39,0.930107527,0.879746833,0.995867764,0.996415767,0.86379928,0.867880674,0.93445378,0.985894323,0.981623691,1
40,0.926523297,0.871874997,0.999999996,0.999999996,0.853046592,0.862409416,0.931552586,0.988861911,0.987092887,1
41,0.948214286,0.925423726,0.973584902,0.974999997,0.921428568,0.897717676,0.949565216,0.994158163,0.994666893,1
42,0.935714286,0.891025638,0.99193548,0.992857139,0.878571425,0.877175896,0.939189188,0.993788265,0.99339567,0
43,0.892857143,0.82738095,0.991071424,0.992857139,0.79285714,0.801916285,0.902597401,0.972066327,0.946492838,0
44,0.953571429,0.917763155,0.996093746,0.996428568,0.910714282,0.910493694,0.95547945,0.995395408,0.996616497,0
45,0.953571429,0.92333333,0.988461535,0.989285711,0.91785714,0.90946589,0.955172412,0.987410714,0.981372215,0
46,0.932142857,0.885350316,0.991869915,0.992857139,0.871428568,0.870728959,0.936026934,0.985969388,0.980661031,0
47,0.951612903,0.922818789,0.984615381,0.985663079,0.917562721,0.905327546,0.953206238,0.98590717,0.986453888,0
48,0.933691756,0.900662249,0.972656246,0.974910391,0.892473115,0.870345948,0.936316694,0.990275048,0.988891776,0
49,0.937275986,0.896103893,0.987999996,0.989247308,0.885304656,0.879314964,0.940374785,0.978147763,0.972157263,0
50,0.946236559,0.916387957,0.980694977,0.98207885,0.910394262,0.894775061,0.948096884,0.987448774,0.988257556,0
51,0.935714286,0.891025638,0.99193548,0.992857139,0.878571425,0.877175896,0.939189188,0.985612245,0.975803596,0
52,0.932142857,0.89285714,0.980158726,0.982142854,0.882142854,0.868639826,0.935374148,0.982385204,0.97522167,0
53,0.903571429,0.840361443,0.995614031,0.996428568,0.810714283,0.821432674,0.911764704,0.984298469,0.979259115,0
54,0.941071429,0.899676372,0.992031869,0.992857139,0.889285711,0.886912657,0.943972834,0.990153061,0.98869371,0
55,0.935714286,0.898692808,0.980314957,0.982142854,0.889285711,0.875209967,0.938566551,0.983329082,0.982431162,0
56,0.932142857,0.895424834,0.976377949,0.978571425,0.885714283,0.868036115,0.935153582,0.978022959,0.976089037,0
57,0.930107527,0.884615382,0.987804874,0.989247308,0.870967739,0.866296164,0.934010151,0.983068049,0.982824834,0
58,0.935483871,0.906354512,0.969111965,0.971326161,0.899641574,0.873214216,0.937716261,0.984288486,0.977486658,0
59,0.924731183,0.873817032,0.991701241,0.992831538,0.856630821,0.857452742,0.9295302,0.990737529,0.989410451,0
60,0.931899642,0.895081964,0.976284581,0.97849462,0.885304656,0.867574667,0.934931505,0.985881476,0.984233009,0
61,0.928571429,0.877358488,0.995867764,0.996428568,0.860714283,0.865147184,0.933110366,0.99567602,0.9951317,0
62,0.946428571,0.908496729,0.99212598,0.992857139,0.899999997,0.896731523,0.948805459,0.98627551,0.983350061,0
63,0.951785714,0.92307692,0.984674326,0.985714282,0.91785714,0.905658929,0.953367874,0.993469388,0.993540129,0
64,0.951785714,0.914754095,0.996078427,0.996428568,0.907142854,0.907194715,0.953846152,0.995153061,0.995035765,0
65,0.932142857,0.890322578,0.983999996,0.985714282,0.878571425,0.869289662,0.935593219,0.987997449,0.985839988,0
66,0.9375,0.899022798,0.984189719,0.985714282,0.889285711,0.879096672,0.940374785,0.986403061,0.985051444,0
67,0.924731183,0.888524587,0.968379443,0.971326161,0.878136198,0.853175088,0.92808219,0.982823962,0.983463024,0
68,0.940860215,0.896774191,0.995967738,0.996415767,0.885304656,0.887214068,0.943972834,0.984404106,0.979744173,0
69,0.953405018,0.92307692,0.988416985,0.989247308,0.917562721,0.909148957,0.955017299,0.991816652,0.991955634,0
70,0.9390681,0.909698994,0.972972969,0.974910391,0.903225803,0.880401164,0.941176469,0.983684691,0.982769949,0
71,0.95,0.91721854,0.988372089,0.989285711,0.910714282,0.90279099,0.951890033,0.98380102,0.983438967,0
72,0.928571429,0.89215686,0.972440941,0.974999997,0.882142854,0.860862263,0.931740613,0.976887755,0.963798847,0
73,0.941071429,0.902280127,0.988142289,0.989285711,0.89285714,0.886272972,0.94378194,0.992997449,0.992693856,0
74,0.923214286,0.871473352,0.991701241,0.992857139,0.853571426,0.854760576,0.928213688,0.989451531,0.989334206,0
75,0.939285714,0.899350646,0.988095234,0.989285711,0.889285711,0.882997509,0.942176869,0.988928571,0.989415608,0
76,0.932142857,0.890322578,0.983999996,0.985714282,0.878571425,0.869289662,0.935593219,0.980229592,0.975092826,0
77,0.930107527,0.877358488,0.999999996,0.999999996,0.860215051,0.868744486,0.934673365,0.987782788,0.985418519,0
78,0.9390681,0.891373799,0.999999996,0.999999996,0.878136198,0.884730244,0.942567566,0.991379864,0.988594234,0
79,0.924731183,0.878594246,0.983673465,0.985663079,0.86379928,0.855841093,0.929054052,0.981629219,0.9800868,0
80,0.94265233,0.90491803,0.988142289,0.989247308,0.896057344,0.889174036,0.945205478,0.989889647,0.988206032,0
81,0.932142857,0.88291139,0.995901635,0.996428568,0.86785714,0.871519104,0.936241609,0.988852041,0.988340688,0
82,0.921428571,0.880645158,0.971999996,0.974999997,0.86785714,0.847737026,0.925423727,0.98375,0.985082444,0
83,0.932142857,0.890322578,0.983999996,0.985714282,0.878571425,0.869289662,0.935593219,0.990727041,0.989569368,0
84,0.9375,0.891373799,0.995951413,0.996428568,0.878571425,0.881141059,0.940978076,0.987971939,0.985876433,0
85,0.951785714,0.925925923,0.980988589,0.982142854,0.921428568,0.905241431,0.953206238,0.990790816,0.990036388,0
86,0.9375,0.896440127,0.988047805,0.989285711,0.885714283,0.879731178,0.940577248,0.985,0.980958727,0
87,0.960573477,0.93856655,0.984905657,0.985663079,0.935483868,0.922308851,0.96153846,0.99505402,0.995475909,0
88,0.930107527,0.889610387,0.979999996,0.98207885,0.878136198,0.864899964,0.933560475,0.980986884,0.975994736,0
89,0.940860215,0.90460526,0.984251965,0.985663079,0.896057344,0.885281639,0.943396225,0.988155342,0.987162857,0
90,0.926523297,0.888888886,0.972222218,0.974910391,0.878136198,0.857069368,0.929914528,0.977826595,0.97614818,0
91,0.946428571,0.908496729,0.99212598,0.992857139,0.899999997,0.896731523,0.948805459,0.990191327,0.990720299,0
92,0.925,0.871874997,0.995833329,0.996428568,0.853571426,0.858808525,0.929999998,0.993966837,0.993855619,0
93,0.930357143,0.889967635,0.980079677,0.982142854,0.878571425,0.86536822,0.933786077,0.987818878,0.98898028,0
94,0.933928571,0.890675238,0.987951803,0.989285711,0.878571425,0.873225492,0.937394245,0.985612245,0.985032607,0
95,0.921428571,0.87106918,0.987603302,0.989285711,0.853571426,0.850728065,0.926421403,0.990216837,0.989857562,0
96,0.935714286,0.912162159,0.962121208,0.964285711,0.907142854,0.872854806,0.937499998,0.984821429,0.985826535,0
97,0.940860215,0.899350646,0.991999996,0.992831538,0.888888886,0.886522463,0.94378194,0.98583009,0.984883967,0
98,0.949820789,0.922558919,0.980842908,0.98207885,0.917562721,0.901519745,0.951388887,0.988245269,0.986015054,0
99,0.944444444,0.91333333,0.980620151,0.98207885,0.906810033,0.891417592,0.946459411,0.9896841,0.989428999,0
100,0.906810036,0.851393186,0.982978719,0.985663079,0.827956986,0.823930662,0.913621261,0.983093742,0.978416507,0
