ACC,PRE,NPV,SE,SP,MCC,PPV,AUC,AUC-PR,CNN_layers,model,Bi-LSTM cells
0.822057787,0.83935151,0.806212018,0.798737727,0.845609065,0.644954874,0.818541142,0.904279686,"0.8849954131070273
",2,DBP-CNN(Hybrid),16*2
0.818181818,0.813793103,0.82276657,0.82748948,0.808781869,0.636415496,0.820584144,0.896330392,"0.881155056899447
",2,DBP-CNN(Hybrid),16*2
0.825933756,0.802990897,0.853076922,0.866058905,0.785410764,0.653764703,0.833333333,0.898909964,"0.8859576140070237
",2,DBP-CNN(Hybrid),16*2
0.826638478,0.801679586,0.856589147,0.870266479,0.782577903,0.655550948,0.83456624,0.904947674,"0.8858666469159454
",2,DBP-CNN(Hybrid),16*2
0.837856891,0.83161512,0.844428364,0.849122806,0.826487252,0.675826737,0.840277777,0.90522638,"0.893093819675722
",2,DBP-CNN(Hybrid),16*2
0.805144468,0.745915493,0.904045154,0.928471248,0.6805949,0.629181237,0.827241487,0.893386779,"0.8748822908602885
",2,DBP-CNN(Hybrid),16*2
0.811839323,0.769649334,0.870777026,0.892706872,0.730169971,0.631590652,0.826623376,0.893495544,"0.8785327381664018
",2,DBP-CNN(Hybrid),16*2
0.821353066,0.774328358,0.889079965,0.909537166,0.732294617,0.652530879,0.836504353,0.904825996,"0.8904472358711109
",2,DBP-CNN(Hybrid),16*2
0.78893587,0.713254254,0.952169076,0.969845722,0.606232294,0.619141142,0.821991084,0.905871433,"0.8888708938663704
",2,DBP-CNN(Hybrid),16*2
0.825519915,0.793931731,0.865338645,0.881403508,0.769121812,0.654883253,0.835384103,0.901281248,"0.8867503337133512
",2,DBP-CNN(Hybrid),16*2
0.81465821,0.797225891,0.834592144,0.846423562,0.782577903,0.630408178,0.821088435,0.894770431,"0.8735659199160664
",2,DBP-CNN(Hybrid),16*2
0.816772375,0.809426229,0.824599708,0.830995792,0.802407931,0.633714755,0.820069204,0.894371625,"0.8800810474894223
",2,DBP-CNN(Hybrid),16*2
0.816067653,0.775946275,0.870833333,0.891304347,0.740084985,0.639038142,0.829634464,0.901590852,"0.8885031700397449
",2,DBP-CNN(Hybrid),16*2
0.830866808,0.859422492,0.806176084,0.793127629,0.868980169,0.663850894,0.824945295,0.909072804,"0.8949225306166217
",2,DBP-CNN(Hybrid),16*2
0.82446246,0.794659885,0.861550632,0.877192982,0.771246458,0.652313408,0.833889259,0.898063715,"0.8863475011179065
",2,DBP-CNN(Hybrid),16*2
0.825933756,0.784493284,0.882499999,0.901122019,0.749999999,0.659009874,0.838772846,0.897615212,"0.8773255424538278
",2,DBP-CNN(Hybrid),16*2
0.806553911,0.755387303,0.884924174,0.909537166,0.702549575,0.626040068,0.825326121,0.89592662,"0.8808770593596003
",2,DBP-CNN(Hybrid),16*2
0.825229035,0.81762295,0.833333333,0.839410939,0.810906515,0.650636791,0.828373702,0.905796439,"0.8914725113427675
",2,DBP-CNN(Hybrid),16*2
0.82346723,0.860483242,0.792926045,0.774193548,0.873229461,0.650409262,0.815060908,0.909453234,"0.8962319854373417
",2,DBP-CNN(Hybrid),16*2
0.82657737,0.784277879,0.884615384,0.903157894,0.749291784,0.660620311,0.839530332,0.90026937,"0.8885212731769738
",2,DBP-CNN(Hybrid),16*2
0.820295983,0.799738219,0.844274809,0.856942496,0.783286118,0.642118034,0.827352742,0.893722014,"0.8744162923256904
",2,DBP-CNN(Hybrid),16*2
0.804439746,0.747583854,0.897126969,0.922159887,0.685552407,0.625938252,0.825745683,0.893562591,"0.876029070291278
",2,DBP-CNN(Hybrid),16*2
0.833333333,0.795779019,0.882640586,0.899018232,0.766997167,0.672188891,0.844254198,0.908441072,"0.8888822789112969
",2,DBP-CNN(Hybrid),16*2
0.808315715,0.751138952,0.901109056,0.924964936,0.690509915,0.633594702,0.82903834,0.901772872,"0.8891022367143963
",2,DBP-CNN(Hybrid),16*2
0.825519915,0.781818181,0.886267902,0.905263157,0.745042492,0.659135916,0.83902439,0.90353561,"0.8878037099015017
",2,DBP-CNN(Hybrid),16*2
0.79739253,0.827559661,0.771929824,0.753856942,0.841359773,0.597349281,0.788990825,0.893678309,"0.8805076257778943
",3,DBP-CNN(Hybrid),16*2
0.801973221,0.75,0.882882882,0.908835904,0.694050991,0.617702839,0.82181357,0.894202269,"0.8821812891002411
",3,DBP-CNN(Hybrid),16*2
0.815362932,0.762209302,0.897137745,0.919354838,0.710339943,0.644350367,0.833439288,0.902190054,"0.8883148821973677
",3,DBP-CNN(Hybrid),16*2
0.836504581,0.839689265,0.833333333,0.833800841,0.839235127,0.673029284,0.836734694,0.913210848,"0.9045857036451034
",3,DBP-CNN(Hybrid),16*2
0.821290095,0.820530726,0.822064056,0.824561403,0.817988668,0.642572427,0.822541127,0.89933055,"0.8865037484583034
",3,DBP-CNN(Hybrid),16*2
0.817829457,0.825340014,0.81054823,0.808555399,0.827195467,0.635819552,0.816861495,0.896908486,"0.884416126130189
",3,DBP-CNN(Hybrid),16*2
0.802677942,0.747428571,0.891544117,0.917251051,0.686968838,0.621353368,0.823677582,0.889747863,"0.8760958529136286
",3,DBP-CNN(Hybrid),16*2
0.813601128,0.752107925,0.916902738,0.938288919,0.687677053,0.647130522,0.834945398,0.904943204,"0.8912529301740528
",3,DBP-CNN(Hybrid),16*2
0.807258633,0.759905381,0.877070618,0.901122019,0.712464589,0.625171932,0.824510747,0.896206727,"0.8868533477855036
",3,DBP-CNN(Hybrid),16*2
0.82164258,0.775644871,0.887179486,0.90736842,0.735127478,0.652580978,0.836351876,0.900130212,"0.8854879562174975
",3,DBP-CNN(Hybrid),16*2
0.816420014,0.799470549,0.835719668,0.847124824,0.785410764,0.633861514,0.822608103,0.891260643,"0.872200417546056
",3,DBP-CNN(Hybrid),16*2
0.780831572,0.714285714,0.91060291,0.939691444,0.6203966,0.591601765,0.811629315,0.888279285,"0.8723554278299224
",3,DBP-CNN(Hybrid),16*2
0.807258633,0.847980997,0.774603174,0.751051893,0.864022662,0.618817973,0.796578653,0.89734305,"0.8856403440230578
",3,DBP-CNN(Hybrid),16*2
0.818534179,0.805499664,0.832962137,0.842215988,0.794617563,0.637647158,0.823448748,0.901836691,"0.8898449280475713
",3,DBP-CNN(Hybrid),16*2
0.810010575,0.832083957,0.790419161,0.778947368,0.841359773,0.621404161,0.804639362,0.893425277,"0.8752949455441287
",3,DBP-CNN(Hybrid),16*2
0.813953488,0.810941828,0.81707317,0.82117812,0.806657223,0.627925165,0.816027874,0.899181629,"0.8869560209425517
",3,DBP-CNN(Hybrid),16*2
0.824876674,0.801819363,0.852193995,0.865357643,0.783994334,0.651678501,0.83237774,0.898403883,"0.8850506931048403
",3,DBP-CNN(Hybrid),16*2
0.82311487,0.834298118,0.812499999,0.808555399,0.837818696,0.646586073,0.821225071,0.898255883,"0.8867211784437588
",3,DBP-CNN(Hybrid),16*2
0.814305849,0.806825938,0.822286962,0.828892005,0.79957507,0.628789906,0.817710135,0.892829047,"0.8793942408144967
",3,DBP-CNN(Hybrid),16*2
0.805075784,0.848242811,0.770977917,0.745263157,0.865439093,0.61494674,0.793425476,0.897212365,"0.8802933319195416
",3,DBP-CNN(Hybrid),16*2
0.822762509,0.833212996,0.812801101,0.809256661,0.836402266,0.645836489,0.821060121,0.90050916,"0.8819647680236629
",3,DBP-CNN(Hybrid),16*2
0.81888654,0.820224719,0.817538896,0.819074333,0.818696883,0.637767417,0.819649123,0.897852111,"0.887377629189971
",3,DBP-CNN(Hybrid),16*2
0.805144468,0.753043478,0.885893979,0.910939691,0.698300283,0.623912046,0.824500158,0.901937014,"0.8901621477222681
",3,DBP-CNN(Hybrid),16*2
0.835447498,0.821596244,0.850779509,0.859046283,0.81161473,0.671517837,0.839904011,0.910564725,"0.9007064588640086
",3,DBP-CNN(Hybrid),16*2
0.81388791,0.842105263,0.789646133,0.774736842,0.853399433,0.629941243,0.807017544,0.896294916,"0.8824939406865465
",3,DBP-CNN(Hybrid),16*2
0.804792107,0.824888226,0.786764705,0.776297335,0.833569405,0.610759183,0.799855491,0.889963159,"0.8751588677387601
",4,DBP-CNN(Hybrid),16*2
0.807258633,0.844705882,0.776711452,0.755259467,0.85977337,0.618216845,0.797482414,0.892768953,"0.883136759478198
",4,DBP-CNN(Hybrid),16*2
0.82311487,0.824894514,0.821327683,0.822580645,0.82365439,0.646228617,0.823735955,0.901536221,"0.886386934824422
",4,DBP-CNN(Hybrid),16*2
0.827343199,0.868503936,0.794005102,0.773492286,0.881728045,0.658854606,0.818249258,0.91049296,"0.901035277059847
",4,DBP-CNN(Hybrid),16*2
0.810010575,0.81779053,0.802494802,0.799999999,0.820113314,0.620199318,0.808797446,0.895275086,"0.8848510923840722
",4,DBP-CNN(Hybrid),16*2
0.809372798,0.814498933,0.804332634,0.803646563,0.815155807,0.61881697,0.809036357,0.890939314,"0.8732205609471514
",4,DBP-CNN(Hybrid),16*2
0.810077519,0.763204747,0.878577623,0.901823281,0.717422096,0.630413172,0.826743812,0.895577975,"0.8857040309734456
",4,DBP-CNN(Hybrid),16*2
0.821705426,0.814637482,0.829215116,0.835203365,0.808073654,0.643564745,0.824792243,0.896555372,"0.8806918817599582
",4,DBP-CNN(Hybrid),16*2
0.787526427,0.895292987,0.725097384,0.653576437,0.922804532,0.59798094,0.755573571,0.900719241,"0.8933561864466497
",4,DBP-CNN(Hybrid),16*2
0.817060275,0.810273972,0.824255628,0.830175438,0.803824362,0.634264646,0.820103986,0.894360618,"0.8845802981258841
",4,DBP-CNN(Hybrid),16*2
0.778012685,0.868518518,0.722411831,0.657784011,0.899433427,0.573826364,0.748603352,0.894303585,"0.8829243337563838
",4,DBP-CNN(Hybrid),16*2
0.800211416,0.753093694,0.870289219,0.896213183,0.70325779,0.611310038,0.818443804,0.894838471,"0.8847543476757123
",4,DBP-CNN(Hybrid),16*2
0.785059901,0.849914236,0.739832535,0.694950911,0.876062322,0.580304413,0.764660494,0.890103958,"0.8716223594001452
",4,DBP-CNN(Hybrid),16*2
0.819238901,0.854700854,0.789813023,0.771388499,0.867563739,0.641727034,0.810910431,0.907019178,"0.9016749281748857
",4,DBP-CNN(Hybrid),16*2
0.8188227,0.831272727,0.807113543,0.802105263,0.83569405,0.638092725,0.816428571,0.900622235,"0.8888919305637621
",4,DBP-CNN(Hybrid),16*2
0.81888654,0.803999999,0.835575485,0.8457223,0.791784702,0.638540407,0.824333561,0.894258887,"0.877214536709308
",4,DBP-CNN(Hybrid),16*2
0.804087385,0.843059936,0.772611464,0.749649368,0.859065155,0.612183081,0.793615441,0.891463274,"0.8775192439134676
",4,DBP-CNN(Hybrid),16*2
0.806906272,0.845125785,0.775862068,0.753856942,0.860481586,0.617654244,0.796886582,0.89914736,"0.881622161654591
",4,DBP-CNN(Hybrid),16*2
0.82346723,0.828713574,0.818308874,0.817671809,0.829320113,0.647007186,0.823155665,0.900947201,"0.8928080292326434
",4,DBP-CNN(Hybrid),16*2
0.821995065,0.823488044,0.820494699,0.821754385,0.82223796,0.643987545,0.822620302,0.901037722,"0.8955159465061395
",4,DBP-CNN(Hybrid),16*2
0.785412262,0.860547219,0.735483871,0.683730715,0.888101982,0.583806532,0.762016412,0.895802707,"0.8859082025699521
",4,DBP-CNN(Hybrid),16*2
0.808315715,0.770552147,0.859271522,0.880785413,0.735127478,0.622829446,0.821989529,0.895266082,"0.8843237316603838
",4,DBP-CNN(Hybrid),16*2
0.817124736,0.823235922,0.811149825,0.809957924,0.824362606,0.634353139,0.816542948,0.898247937,"0.8907633661579022
",4,DBP-CNN(Hybrid),16*2
0.820648344,0.854054053,0.792611795,0.775596072,0.866147308,0.644199914,0.81293642,0.905836667,"0.8979251305163429
",4,DBP-CNN(Hybrid),16*2
0.82375749,0.818745692,0.829004328,0.83368421,0.813739376,0.647586784,0.826147427,0.899741564,"0.8905036680920478
",4,DBP-CNN(Hybrid),16*2
0.809020437,0.826440177,0.793126684,0.784712482,0.833569405,0.618924041,0.805035971,0.898178903,"0.8765322525383475
",2,DBP-CNN(Hybrid),32*2
0.810782241,0.763798219,0.879444926,0.902524544,0.718130311,0.631848069,0.827386692,0.891938811,"0.8734140389333744
",2,DBP-CNN(Hybrid),32*2
0.825581395,0.809713905,0.843445692,0.853436185,0.797450424,0.652022114,0.831000341,0.906259312,"0.8897542669546249
",2,DBP-CNN(Hybrid),32*2
0.835095137,0.812255541,0.86196319,0.87377279,0.796033994,0.672009138,0.841891892,0.913229223,"0.9011942378870621
",2,DBP-CNN(Hybrid),32*2
0.824814945,0.8281471,0.821503864,0.821754385,0.827903682,0.649654517,0.824938358,0.903619104,"0.8905828559936994
",2,DBP-CNN(Hybrid),32*2
0.81888654,0.799212598,0.841704718,0.854137447,0.783286118,0.639168054,0.825762712,0.899468193,"0.8812727051811896
",2,DBP-CNN(Hybrid),32*2
0.816420014,0.791747259,0.846153845,0.86115007,0.771246458,0.635142854,0.824991602,0.887618748,"0.8664915530925723
",2,DBP-CNN(Hybrid),32*2
0.815362932,0.76845238,0.883419688,0.905329593,0.724504249,0.640758216,0.831294269,0.901278959,"0.8829183241675013
",2,DBP-CNN(Hybrid),32*2
0.832980973,0.817333333,0.850523168,0.859747545,0.805949008,0.666775654,0.838004101,0.904922096,"0.8933483518111919
",2,DBP-CNN(Hybrid),32*2
0.839971801,0.814646791,0.870170015,0.882105263,0.797450424,0.682181176,0.84703504,0.90512897,"0.8863913702582552
",2,DBP-CNN(Hybrid),32*2
0.815715292,0.804861579,0.827560795,0.835904628,0.795325778,0.631826111,0.820089439,0.892629147,"0.8783676101233522
",2,DBP-CNN(Hybrid),32*2
0.811486963,0.759766763,0.890471949,0.91374474,0.708215297,0.635942211,0.829672079,0.896876949,"0.8874872248101814
",2,DBP-CNN(Hybrid),32*2
0.800563777,0.738623751,0.908301157,0.933380083,0.666430594,0.622922523,0.824659231,0.90307582,"0.8928227817325182
",2,DBP-CNN(Hybrid),32*2
0.829457364,0.839337175,0.819999999,0.816970546,0.842067988,0.659187839,0.828002843,0.910216328,"0.8985126598875891
",2,DBP-CNN(Hybrid),32*2
0.805780754,0.861157024,0.764597418,0.73122807,0.881019829,0.618964332,0.79089184,0.903219522,"0.8927928613967415
",2,DBP-CNN(Hybrid),32*2
0.814305849,0.780762023,0.85772029,0.876577839,0.75141643,0.633216579,0.825900231,0.892384053,"0.8731107079208291
",2,DBP-CNN(Hybrid),32*2
0.79739253,0.831644582,0.769131832,0.748246844,0.847025495,0.598018046,0.787744555,0.894092511,"0.8809117725119782
",2,DBP-CNN(Hybrid),32*2
0.816067653,0.776960784,0.868988391,0.88920056,0.742209631,0.638638312,0.829300196,0.901269523,"0.8901403050671185
",2,DBP-CNN(Hybrid),32*2
0.830162086,0.804516129,0.861024844,0.874474053,0.785410764,0.662706862,0.838037634,0.907219823,"0.8982276493690012
",2,DBP-CNN(Hybrid),32*2
0.827634826,0.842606149,0.813732154,0.807719298,0.84773371,0.655895507,0.82479398,0.901809552,"0.8848453683139248
",2,DBP-CNN(Hybrid),32*2
0.808315715,0.781969309,0.84065934,0.857643758,0.758498583,0.619377005,0.8180602,0.888115889,"0.8644382120736982
",2,DBP-CNN(Hybrid),32*2
0.810077519,0.762892708,0.879235447,0.902524544,0.716713881,0.630579439,0.826855123,0.896129251,"0.8821834077607866
",2,DBP-CNN(Hybrid),32*2
0.82311487,0.810901749,0.836538461,0.845021037,0.800991501,0.646725981,0.82760989,0.90299288,"0.8877803896721302
",2,DBP-CNN(Hybrid),32*2
0.797040169,0.739032621,0.894339622,0.921458625,0.671388102,0.61277456,0.820224719,0.899061441,"0.8879304646297335
",2,DBP-CNN(Hybrid),32*2
0.81247797,0.792020928,0.836391437,0.849824561,0.774787535,0.62650935,0.819905213,0.893279658,"0.8783081571331741
",2,DBP-CNN(Hybrid),32*2
0.814305849,0.771929824,0.873417721,0.894810659,0.733002832,0.636520146,0.828840532,0.889959434,"0.8732946269612365
",3,DBP-CNN(Hybrid),32*2
0.800563777,0.840729001,0.768401015,0.74403927,0.857648725,0.605397571,0.789434524,0.897457527,"0.8846327001125278
",3,DBP-CNN(Hybrid),32*2
0.828047921,0.818181818,0.838709677,0.8457223,0.8101983,0.656405869,0.831724138,0.902508652,"0.8899008063311721
",3,DBP-CNN(Hybrid),32*2
0.822762509,0.779189352,0.883544303,0.903225806,0.741501416,0.65366844,0.836635271,0.905398627,"0.8887061795159845
",3,DBP-CNN(Hybrid),32*2
0.81741276,0.815149409,0.819742489,0.823157894,0.81161473,0.634832259,0.819134078,0.893477958,"0.8852942003348631
",3,DBP-CNN(Hybrid),32*2
0.804087385,0.800414364,0.807913668,0.812762973,0.795325778,0.608208381,0.806541405,0.891471717,"0.8748514197942483
",3,DBP-CNN(Hybrid),32*2
0.794573643,0.734036646,0.899710703,0.927068723,0.660764872,0.610358898,0.819336845,0.891010831,"0.8763180950436211
",3,DBP-CNN(Hybrid),32*2
0.81042988,0.748322147,0.916190475,0.938288919,0.681303116,0.641659356,0.832607343,0.90134551,"0.8871004457819297
",3,DBP-CNN(Hybrid),32*2
0.831219168,0.818855218,0.844789356,0.852734922,0.809490084,0.662934412,0.835451735,0.909007247,"0.8989449431745223
",3,DBP-CNN(Hybrid),32*2
0.783221713,0.714512711,0.9199157,0.946666666,0.618271954,0.598676133,0.814367642,0.892246906,"0.8763883015374954
",3,DBP-CNN(Hybrid),32*2
0.815715292,0.777163904,0.867659222,0.887798036,0.742917846,0.637730498,0.828805237,0.898721239,"0.8843779150345331
",3,DBP-CNN(Hybrid),32*2
0.806553911,0.8138869,0.799444829,0.797335203,0.815864022,0.613265475,0.805526036,0.893804457,"0.8816626742635446
",3,DBP-CNN(Hybrid),32*2
0.808315715,0.839753466,0.781818181,0.764375876,0.852691218,0.619315276,0.800293685,0.896988446,"0.8827226552582225
",3,DBP-CNN(Hybrid),32*2
0.815715292,0.774802191,0.871966526,0.892706872,0.737960339,0.638667225,0.829586184,0.903503927,"0.8937596407158622
",3,DBP-CNN(Hybrid),32*2
0.820585125,0.849085365,0.796065573,0.781754385,0.85977337,0.643336798,0.81402996,0.900692312,"0.8919505074774016
",3,DBP-CNN(Hybrid),32*2
0.7931642,0.725416442,0.922210849,0.946704067,0.638101983,0.615415599,0.821417706,0.895081579,"0.8733164077826925
",3,DBP-CNN(Hybrid),32*2
0.747709655,0.673509286,0.939393938,0.96633941,0.526912181,0.54983224,0.793778802,0.885407686,"0.869555916169662
",3,DBP-CNN(Hybrid),32*2
0.824171952,0.797305965,0.856919468,0.871669004,0.776203965,0.651041454,0.83283082,0.902463954,"0.8871461797964895
",3,DBP-CNN(Hybrid),32*2
0.826990839,0.818243703,0.836376917,0.84291725,0.810906515,0.654222072,0.830397236,0.907178105,"0.8952554130642922
",3,DBP-CNN(Hybrid),32*2
0.815650335,0.828238718,0.803827751,0.798596491,0.832861189,0.631762002,0.813147552,0.898506038,"0.8864604653417603
",3,DBP-CNN(Hybrid),32*2
0.790697674,0.725596529,0.911468812,0.938288919,0.641643059,0.607827743,0.818348624,0.896477399,"0.8779021502739671
",3,DBP-CNN(Hybrid),32*2
0.782945736,0.717274678,0.908624229,0.937587657,0.626770538,0.594332549,0.812765957,0.889237313,"0.8750032446476337
",3,DBP-CNN(Hybrid),32*2
0.799154334,0.844605474,0.763784461,0.735624123,0.863314447,0.603645756,0.786356821,0.895554633,"0.8836676481951526
",3,DBP-CNN(Hybrid),32*2
0.821000705,0.839497041,0.804172274,0.795932678,0.84631728,0.642959246,0.817134629,0.90171402,"0.8912769408361922
",3,DBP-CNN(Hybrid),32*2
0.831864646,0.807392996,0.86100386,0.87368421,0.789660056,0.66586577,0.839231547,0.902617663,"0.8917612314789165
",3,DBP-CNN(Hybrid),32*2
0.794573643,0.861802574,0.747758517,0.704067321,0.885977336,0.599723492,0.774990351,0.896681023,"0.8797947421844039
",4,DBP-CNN(Hybrid),32*2
0.817477097,0.787705956,0.854761904,0.871669004,0.762747875,0.63842968,0.827563249,0.89757697,"0.8897489690913727
",4,DBP-CNN(Hybrid),32*2
0.822057787,0.771681415,0.896762904,0.917251051,0.725920679,0.655686275,0.838192887,0.896665627,"0.8757371650946182
",4,DBP-CNN(Hybrid),32*2
0.811839323,0.842549923,0.785807291,0.769284712,0.854815863,0.626225279,0.804252199,0.899338569,"0.8941257994912409
",4,DBP-CNN(Hybrid),32*2
0.81529785,0.839999999,0.793650793,0.781052631,0.849858356,0.632279407,0.809454545,0.902209632,"0.8859622357701883
",4,DBP-CNN(Hybrid),32*2
0.816420014,0.810569663,0.822592324,0.828190743,0.804532577,0.632942617,0.819285466,0.894731196,"0.8791053594495636
",4,DBP-CNN(Hybrid),32*2
0.818534179,0.843255463,0.796823295,0.784712482,0.852691218,0.63873983,0.812931347,0.897898299,"0.8858044520348658
",4,DBP-CNN(Hybrid),32*2
0.781183932,0.868252515,0.726647564,0.665497896,0.898016997,0.578994866,0.7534736,0.890416347,"0.8786806541672021
",4,DBP-CNN(Hybrid),32*2
0.821000705,0.864285714,0.786438529,0.763674614,0.878895184,0.646634167,0.810871184,0.904898009,"0.8959551016765146
",4,DBP-CNN(Hybrid),32*2
0.778639408,0.886517943,0.717054263,0.641403508,0.91713881,0.580620892,0.744299674,0.895310372,"0.8831481856437933
",4,DBP-CNN(Hybrid),32*2
0.808668076,0.816034359,0.801526717,0.79943899,0.817988668,0.617494364,0.807651434,0.890514186,"0.8738409567865858
",4,DBP-CNN(Hybrid),32*2
0.80584919,0.795010114,0.817712177,0.826788218,0.784702549,0.61210622,0.810587831,0.891973825,"0.880221780409296
",4,DBP-CNN(Hybrid),32*2
0.828047921,0.8147651,0.84272997,0.851332398,0.804532577,0.656679518,0.832647462,0.902493256,"0.8875666419754025
",4,DBP-CNN(Hybrid),32*2
0.819238901,0.849273144,0.793598954,0.778401121,0.860481586,0.6408743,0.812294182,0.903197498,"0.8927808570207915
",4,DBP-CNN(Hybrid),32*2
0.799788509,0.867180805,0.75269461,0.710175438,0.890226628,0.610061047,0.780864197,0.895762388,"0.8824623613671974
",4,DBP-CNN(Hybrid),32*2
0.80162086,0.818920916,0.785858585,0.776998597,0.826487252,0.60413233,0.79740914,0.886271351,"0.8728492674632956
",4,DBP-CNN(Hybrid),32*2
0.803030303,0.862155388,0.759902498,0.723702664,0.883144475,0.614405444,0.786885246,0.895519868,"0.8811236672419052
",4,DBP-CNN(Hybrid),32*2
0.734319944,0.896226414,0.665326633,0.532959326,0.937677053,0.5140888,0.668425681,0.894439914,"0.874884749527002
",4,DBP-CNN(Hybrid),32*2
0.828047921,0.827972027,0.828124999,0.83029453,0.825779036,0.656085297,0.829131652,0.902044289,"0.8928591193655121
",4,DBP-CNN(Hybrid),32*2
0.766302432,0.872798434,0.706336088,0.625964912,0.907932011,0.556055878,0.729055987,0.888656627,"0.8776649467593429
",4,DBP-CNN(Hybrid),32*2
0.812896406,0.818505337,0.807397069,0.806451612,0.819405099,0.625879559,0.812433769,0.894378082,"0.8806227842934093
",4,DBP-CNN(Hybrid),32*2
0.811839323,0.816312056,0.807422969,0.807152875,0.816572237,0.62373007,0.811706629,0.896114351,"0.881214683754102
",4,DBP-CNN(Hybrid),32*2
0.789992953,0.723840345,0.914634145,0.941093968,0.637393767,0.607741445,0.818292683,0.899800448,"0.8847568155201347
",4,DBP-CNN(Hybrid),32*2
0.819591261,0.828776978,0.81077348,0.807854137,0.831444759,0.639424665,0.818181818,0.904704318,"0.8955917503963595
",4,DBP-CNN(Hybrid),32*2
0.82516743,0.808228268,0.844360902,0.854736842,0.795325778,0.651324671,0.830832196,0.896969584,"0.8867937113187203
",4,DBP-CNN(Hybrid),32*2
